name;url;colocated
Philadelphia Museum of Art Hackathon 2.0;https://philamuseumhackathon.devpost.com/;False
Bonfire: Presented by Cipher;https://cipherbonfire.devpost.com/;True
Bitcamp 2016;https://bitcamp16.devpost.com/;True
UB Hacking;https://ubhacking2017.devpost.com/;True
Consensus 2016 BUILDING BLOCKS HACKATHON;https://consensus2016-blockchain.devpost.com/;True
EngHack W17;https://enghack-w17.devpost.com/;True
SpartaHack 2016;https://spartahack2016.devpost.com/;True
Fashion/Tech Hackathon;https://fth2018.devpost.com/;True
DesertHacks;https://deserthacks.devpost.com/;True
Hero City Hacks Hackathon;https://herocityhackshackathon.devpost.com/;True
HackTJ 2.0;https://hacktj2015.devpost.com/;False
WHACK Spring 2017;https://whack17.devpost.com/;True
SkyHack 2017;https://skyhack1.devpost.com/;True
WildHacks 2016;https://wildhacks2016.devpost.com/;True
HackDay II;https://hackday2.devpost.com/;True
HSHacks;https://hshacks.devpost.com/;True
The MTA and AT&T Present: App Quest 3.0;https://2014mtaappquest.devpost.com/;False
Hackpoly;https://hackpoly.devpost.com/;True
HackISU VIII Fall 2017;https://hackisu-viii.devpost.com/;True
tribeHacks;https://tribehacks2016.devpost.com/;True
AthenaHacks 2017;https://athenahacks.devpost.com/;True
PennApps Spring 2014;https://pennapps2014s.devpost.com/;True
HackACM;https://hackacm-2018.devpost.com/;True
NYC BigApps;https://nycbigapps2009.devpost.com/;False
McHacks 2018;https://mchacks2018.devpost.com/;True
HackMIT 2017;https://hackmit2017.devpost.com/;True
HackFSU 5;https://hackfsu5.devpost.com/;True
Cal Hacks 4.0;https://calhacks4.devpost.com/;True
TM Forum Open Hack, Nice, France May 14-16;https://open-hack-nice-france-2017.devpost.com/;True
HackDuke 2015: Code for Good;https://hackduke2015.devpost.com/;True
DC Tech Hackathon Presented by D&B;https://dctechhack.devpost.com/;True
Expedia Seattle Hackathon!;https://expedia-seattle-hackathon.devpost.com/;True
Uncommon Hacks Winter 2017;https://uncommonhacks2017.devpost.com/;True
GrizzHacks 2;https://grizzhacks2.devpost.com/;True
explorationdays cegeka;https://explorationdays.devpost.com/;False
GODAN Open Data Maker’s Hackathon;https://godan.devpost.com/;True
TreeHacks Winter 2015;https://treehackswinter2015.devpost.com/;True
SteelHacks 2017;https://steelhacks2017.devpost.com/;True
ETHDenver;https://ethdenver.devpost.com/;True
MIT Bitcoin Hackathon;https://mitbitcoinhack.devpost.com/;True
HackBudapest;https://hackbudapest2017.devpost.com/;True
Hack The North;https://hackthenorth.devpost.com/;True
Uncommon Hacks 2018;https://uncommonhacks2018.devpost.com/;True
MHacks IV Fall 2014;https://mhacks-iv.devpost.com/;True
Oculus' Mobile VR Jam 2015;https://vrjam.devpost.com/;False
HackSC 2015;https://hacksc2015.devpost.com/;True
Free the TV Challenge;https://freethetv2010.devpost.com/;False
International Development Hackathon 2017;https://idhack2017.devpost.com/;True
UHack 2017;https://uhack2017.devpost.com/;True
LA Hacks - Spring 2014;https://lahacks.devpost.com/;True
Firebird Hacks;https://firebird-hacks-5741.devpost.com/;True
HackIllinois 2017;https://hackillinois-2017.devpost.com/;True
NYC Schools Gap App Challenge;https://nycschools.devpost.com/;False
appbackr Tizen Challenge;https://tizenapps.devpost.com/;False
Hack_UTD;https://hackutd.devpost.com/;True
Hamp Hack;https://hamphack.devpost.com/;True
HackRU Fall 2015;https://hackruf15.devpost.com/;True
Samsung Gear App Challenge;https://gearapp.devpost.com/;False
Hack @ UCI;https://hackatuci.devpost.com/;True
Hack.Moscow;https://hackmoscow.devpost.com/;True
LocalHackDay 2016 - UW-Madison;https://localhackday-2016-uw-madison.devpost.com/;True
Hack Western 4;https://hackwestern4.devpost.com/;True
Reality, Virtually, Hackathon;https://realityvrhack.devpost.com/;True
BrickHack;https://brickhack.devpost.com/;True
SpartaHack IV;https://spartahackiv.devpost.com/;True
PixelHacks II;https://pixelhacks2.devpost.com/;True
Women's Hackathon CSU San Marcos April 25, 2015;https://csusmhackathonspring2015.devpost.com/;True
Google I/O Extended Santa Barbara @ Citrix (2015);https://iosb-2015.devpost.com/;False
MontyHacks II;https://montyhacks-ii.devpost.com/;True
SpartaHack 2017;https://spartahack2017.devpost.com/;True
LA Hacks 2018;https://la-hacks-2018.devpost.com/;True
Code-N-Counter 2.0;https://code-n-counter-2.devpost.com/;True
HackPSU Fall 2017;https://hackpsu-fall-2017.devpost.com/;True
Hackathon for Combat Feeding Mobile Apps;https://combatfeedinghack.devpost.com/;True
HackPSU Spring 2017;https://hackpsu-spring2017.devpost.com/;True
Meteor Global Distributed Hackathon;https://meteor-2015.devpost.com/;True
LA Hacks 2017;https://lahacks2017.devpost.com/;True
Markup of US Legislation in Akoma Ntoso;https://akoma-ntoso-markup.devpost.com/;False
Cal Hacks;https://calhacks.devpost.com/;True
